forme	lemme	catégorie
Lorsqu'	lorsque	SUB
on	on	PPER3S
sort	sortir	VINDP3S
de	de	PREP
Plassans	Plassans	NPI
par	par	PREP
la	le	DETDFS
porte	porte	NCFS
de	de	PREP
Rome	Rome	NPHSIG
,	,	PCTFAIB
située	situer	VPARPFS
au	à le	DETDMS
sud	sud	NCMIN
de	de	PREP
la	le	DETDFS
ville	ville	NCFS
,	,	PCTFAIB
on	on	PPER3S
trouve	trouver	VINDP3S
,	,	PCTFAIB
à	à	PREP
droite	droite	NCFS
de	de	PREP
la	le	DETDFS
route	route	NCFS
de	de	PREP
Nice	Nice	NPSIG
,	,	PCTFAIB
après	après	PREP
avoir	avoir	VINF
dépassé	dépasser	VPARPMS
les	le	DETDPIG
premières	premier	ADJORD
maisons	maison	NCFP
du	de le	DETDMS
faubourg	faubourg	NCMS
,	,	PCTFAIB
un	un	DETIMS
terrain	terrain	NCMS
vague	vague	ADJSIG
désigné	désigner	VPARPMS
dans	dans	PREP
le	le	DETDMS
pays	pays	NCMIN
sous	sous	PREP
le	le	DETDMS
nom	nom	NCMS
d'	de	PREP
aire	aire	NCFS
Saint	Saint	NPMS
-Mittre	Mittre	NPI
.	.	PCTFORTE
L'	le	DETDFS
aire	aire	NCFS
Saint	Saint	NPMS
-Mittre	Mittre	NPI
est	être	VINDP3S
un	un	DETIMS
carré	carrer	VPARPMS
long	long	NCMS
,	,	PCTFAIB
d'	de	PREP
une	un	DETIFS
certaine	certain	ADJFS
étendue	étendue	NCFS
,	,	PCTFAIB
qui	qui	PRI
s'	se	PPER3S
allonge	allonger	VINDP3S
au	à le	DETDMS
ras	ras	NCMIN
du	de le	DETDMS
trottoir	trottoir	NCMS
de	de	PREP
la	le	DETDFS
route	route	NCFS
,	,	PCTFAIB
dont	dont	PRI
une	un	DETIFS
simple	simple	ADJSIG
bande	bande	NCFS
d'	de	PREP
herbe	herb	NCFS
usée	usé	ADJFS
la	le	PPER3S
sépare	séparer	VINDP3S
.	.	PCTFORTE
D'	de	PREP
un	un	DETIMS
côté	côté	NCMS
,	,	PCTFAIB
à	à	PREP
droite	droite	NCFS
,	,	PCTFAIB
une	un	DETIFS
ruelle	ruelle	NCFS
,	,	PCTFAIB
qui	qui	PRI
va	aller	VINDP3S
se	se	PPER3S
terminer	terminer	VINF
en	en	PREP
cul-de-sac	cul-de-sac	NCMS
,	,	PCTFAIB
la	le	DETDFS
borde	bord	NCFS
d'	de	PREP
une	un	DETIFS
rangée	rangée	NCFS
de	de	PREP
masures	masure	NCFP
;	;	PCTFORTE
à	à	PREP
gauche	gauche	NCFS
et	et	COO
au	à le	DETDMS
fond	fond	NCMS
,	,	PCTFAIB
elle	elle	PPER3S
est	être	VINDP3S
close	clore	VPARPFS
par	par	PREP
deux	deux	ADJNUM
pans	pan	NCMP
de	de	PREP
muraille	muraille	NCFS
rongés	ronger	VPARPMP
de	de	PREP
mousse	mousse	NCSIG
,	,	PCTFAIB
au-dessus	au-dessus	ADV
desquels	duquel	PRI
on	on	PPER3S
aperçoit	apercevoir	VINDP3S
les	le	DETDPIG
branches	branche	NCFP
hautes	haut	ADJFP
des	de le	DETDPIG
mûriers	mûrier	NCMP
du	de le	DETDMS
Jas	jas	NCSIG
-Meiffren	Meiffren	NPI
,	,	PCTFAIB
grande	grand	NCFS
propriété	propriété	NCFS
qui	qui	PRI
a	avoir	VINDP3S
son	son	DETPOSS
entrée	entrée	NCFS
plus	plus	ADV
bas	bas	ADJMIN
dans	dans	PREP
le	le	DETDMS
faubourg	faubourg	NCMS
.	.	PCTFORTE
Ainsi	ainsi	ADV
fermée	fermer	VPARPFS
de	de	PREP
trois	trois	ADJNUM
côtés	côté	NCMP
,	,	PCTFAIB
l'	le	DETDFS
aire	aire	NCFS
est	être	VINDP3S
comme	comme	SUB
une	un	DETIFS
place	place	NCFS
qui	qui	PRI
ne	ne	ADV
conduit	conduire	VINDP3S
nulle	nul	ADJIND
part	part	NCFS
et	et	COO
que	que	ADV
les	le	DETDPIG
promeneurs	promeneur	NCMP
seuls	seul	ADJMP
traversent	traverser	VINDP3P
.	.	PCTFORTE
Anciennement	anciennement	ADV
,	,	PCTFAIB
il	il	PPER3S
y	y	PPER3S
avait	avoir	VINDI3S
là	là	ADV
un	un	DETIMS
cimetière	cimetière	NCMS
placé	placer	VPARPMS
sous	sous	PREP
la	le	DETDFS
protection	protection	NCFS
de	de	PREP
saint	saint	NCMS
-Mittre	Mittre	NPI
,	,	PCTFAIB
un	un	DETIMS
saint	saint	NCMS
provençal	provençal	ADJMS
fort	fort	ADV
honoré	honoré	ADJMS
dans	dans	PREP
la	le	DETDFS
contrée	contrée	NCFS
.	.	PCTFORTE
Les	le	DETDPIG
vieux	vieux	NCMIN
de	de	PREP
Plassans	Plassans	NPI
,	,	PCTFAIB
en	en	PREP
1851	1851	NCMIN
,	,	PCTFAIB
se	se	PPER3S
souvenaient	souvenir	VINDI3P
encore	encore	ADV
d'	de	PREP
avoir	avoir	VINF
vu	voir	VPARPMS
debout	debout	ADV
les	le	DETDPIG
murs	mur	NCMP
de	de	PREP
ce	ce	DETDEM
cimetière	cimetière	NCMS
,	,	PCTFAIB
qui	qui	PRI
était	être	VINDI3S
resté	rester	VPARPMS
fermé	fermer	VPARPMS
pendant	pendant	PREP
des	de le	DETDPIG
années	année	NCFP
.	.	PCTFORTE
La	le	DETDFS
terre	terre	NCFS
,	,	PCTFAIB
que	que	SUB
l'	l	NCMS
on	on	PPER3S
gorgeait	gorger	VINDI3S
de	de	PREP
cadavres	cadavre	NCMP
depuis	depuis	PREP
plus	plus	ADV
d'	de	PREP
un	un	DETIMS
siècle	siècle	NCMS
,	,	PCTFAIB
suait	suer	VINDI3S
la	le	DETDFS
mort	mort	NCFS
,	,	PCTFAIB
et	et	COO
l'	l	NCMS
on	on	PPER3S
avait	avoir	VINDI3S
dû	devoir	VPARPMS
ouvrir	ouvrir	VINF
un	un	DETIMS
nouveau	nouveau	ADJMS
champ	champ	NCMS
de	de	PREP
sépultures	sépulture	NCFP
à	à	PREP
l'	le	DETDMS
autre	autre	ADJSIG
bout	bout	NCMS
de	de	PREP
la	le	DETDFS
ville	ville	NCFS
.	.	PCTFORTE
Abandonné	abandonner	VPARPMS
,	,	PCTFAIB
l'	le	DETDMS
ancien	ancien	ADJMS
cimetière	cimetière	NCMS
s'	se	PPER3S
était	être	VINDI3S
épuré	épurer	VPARPMS
à	à	PREP
chaque	chaque	ADJIND
printemps	printemps	NCMIN
,	,	PCTFAIB
en	en	PREP
se	se	PPER3S
couvrant	couvrir	VPARPRES
d'	de	PREP
une	un	DETIFS
végétation	végétation	NCFS
noire	noir	ADJFS
et	et	COO
drue	dru	ADJFS
.	.	PCTFORTE
Ce	ce	DETDEM
sol	sol	NCMS
gras	gras	ADJMIN
,	,	PCTFAIB
dans	dans	PREP
lequel	lequel	PRMS
les	le	DETDPIG
fossoyeurs	fossoyeur	NCMP
ne	ne	ADV
pouvaient	pouvoir	VINDI3P
plus	plus	ADV
donner	donner	VINF
un	un	DETIMS
coup	coup	NCMS
de	de	PREP
bêche	bêche	NCFS
sans	sans	PREP
arracher	arracher	VINF
quelque	quelque	ADJIND
lambeau	lambeau	NCMS
humain	humain	ADJMS
,	,	PCTFAIB
eut	avoir	VINDPS3S
une	un	DETIFS
fertilité	fertilité	NCFS
formidable	formidable	ADJSIG
.	.	PCTFORTE
De	de	PREP
la	le	DETDFS
route	route	NCFS
,	,	PCTFAIB
après	après	PREP
les	le	DETDPIG
pluies	pluie	NCFP
de	de	PREP
mai	mai	NCMIN
et	et	COO
les	le	DETDPIG
soleils	soleil	NCMP
de	de	PREP
juin	juin	NCMIN
,	,	PCTFAIB
on	on	PPER3S
apercevait	apercevoir	VINDI3S
les	le	DETDPIG
pointes	pointe	NCFP
des	de le	DETDPIG
herbes	herbe	NCFP
qui	qui	PRI
débordaient	déborder	VINDI3P
les	le	DETDPIG
murs	mur	NCMP
;	;	PCTFORTE
en	en	PREP
dedans	dedans	ADV
,	,	PCTFAIB
c'	ce	PDS
était	être	VINDI3S
une	un	DETIFS
mer	mer	NCFS
d'	de	PREP
un	un	DETIMS
vert	vert	NCMS
sombre	sombre	ADJSIG
,	,	PCTFAIB
profonde	profond	ADJFS
,	,	PCTFAIB
piquée	piquer	VPARPFS
de	de	PREP
fleurs	fleur	NCFP
larges	large	ADJPIG
,	,	PCTFAIB
d'	de	PREP
un	un	DETIMS
éclat	éclat	NCMS
singulier	singulier	ADJMS
.	.	PCTFORTE
On	on	PPER3S
sentait	sentir	VINDI3S
en	en	PREP
dessous	dessous	ADV
,	,	PCTFAIB
dans	dans	PREP
l'	le	DETDFS
ombre	ombre	NCFS
des	de le	DETDPIG
tiges	tige	NCFP
pressées	pressé	ADJFP
,	,	PCTFAIB
le	le	DETDMS
terreau	terreau	NCMS
humide	humide	ADJSIG
qui	qui	PRI
bouillait	bouillir	VINDI3S
et	et	COO
suintait	suinter	VINDI3S
la	le	DETDFS
sève	sève	NCFS
.	.	PCTFORTE
Une	un	PIFS
des	de le	DETDPIG
curiosités	curiosité	NCFP
de	de	PREP
ce	ce	DETDEM
champ	champ	NCMS
était	être	VINDI3S
alors	alors	ADV
des	un	DETDPIG
poiriers	poirier	NCMP
aux	à le	DETDPIG
bras	bras	NCMIN
tordus	tordu	ADJMP
,	,	PCTFAIB
aux	à le	DETDPIG
noeuds	noeud	NCMP
monstrueux	monstrueux	ADJMIN
,	,	PCTFAIB
dont	dont	PRI
pas	pas	ADV
une	un	DETIFS
ménagère	ménager	NCFS
de	de	PREP
Plassans	Plassans	NPI
n'	ne	ADV
aurait	avoir	VCONP3S
voulu	vouloir	VPARPMS
cueillir	cueillir	VINF
les	le	DETDPIG
fruits	fruit	NCMP
énormes	énorme	ADJPIG
.	.	PCTFORTE
I4	I4	NPI
Dans	Dans	PREP
la	le	DETDFS
ville	ville	NCFS
,	,	PCTFAIB
on	on	PPER3S
parlait	parler	VINDI3S
de	de	PREP
ces	ce	DETDEM
fruits	fruit	NCMP
avec	avec	PREP
des	de le	DETDPIG
grimaces	grimace	NCFP
de	de	PREP
dégoût	dégoût	NCMS
;	;	PCTFORTE
mais	mais	COO
les	le	DETDPIG
gamins	gamin	NCMP
du	de le	DETDMS
faubourg	faubourg	NCMS
n'	ne	ADV
avaient	avoir	VINDI3P
pas	pas	ADV
de	de	PREP
ces	ce	DETDEM
délicatesses	délicatesse	NCFP
,	,	PCTFAIB
et	et	COO
ils	il	PPER3P
escaladaient	escalader	VINDI3P
la	le	DETDFS
muraille	muraille	NCFS
,	,	PCTFAIB
par	par	PREP
bandes	bande	NCFP
,	,	PCTFAIB
le	le	DETDMS
soir	soir	NCMS
,	,	PCTFAIB
au	à le	DETDMS
crépuscule	crépuscule	NCMS
,	,	PCTFAIB
pour	pour	PREP
aller	aller	VINF
voler	voler	VINF
les	le	DETDPIG
poires	poire	NCFP
,	,	PCTFAIB
avant	avant	PREP
même	même	ADV
qu'	que	ADV
elles	il	PPER3P
fussent	être	VSUBI3P
mûres	mûr	ADJFP
.	.	PCTFORTE
La	le	DETDFS
vie	vie	NCFS
ardente	ardent	ADJFS
des	de le	DETDPIG
herbes	herbe	NCFP
et	et	COO
des	de le	DETDPIG
arbres	arbre	NCMP
eut	avoir	VINDPS3S
bientôt	bientôt	ADV
dévoré	dévorer	VPARPMS
toute	tout	ADJFS
la	le	DETDFS
mort	mort	NCFS
de	de	PREP
l'	le	DETDMS
ancien	ancien	ADJMS
cimetière	cimetière	NCMS
Saint	Saint	NPMS
-Mittre	Mittre	NPI
;	;	PCTFORTE
la	le	DETDFS
pourriture	pourriture	NCFS
humaine	humain	NCFS
fut	être	VINDPS3S
mangée	manger	VPARPFS
avidement	avidement	ADV
par	par	PREP
les	le	DETDPIG
fleurs	fleur	NCFP
et	et	COO
les	le	DETDPIG
fruits	fruit	NCMP
,	,	PCTFAIB
et	et	COO
il	il	PPER3S
