forme	lemme	catégorie
Émile Zola	Émile zola	NPMS
La	le	DETDFS
curée	curée	NCFS
Au	à le	DETDMS
retour	retour	NCMS
,	,	PCTFAIB
dans	dans	PREP
l'	le	DETDMS
encombrement	encombrement	NCMS
des	de le	DETDPIG
voitures	voiture	NCFP
qui	qui	PRI
rentraient	rentrer	VINDP3P
par	par	PREP
le	le	DETDMS
bord	bord	NCMS
du	de le	DETDMS
lac	lac	NCMS
,	,	PCTFAIB
la	le	DETDFS
calèche	calèche	NCFS
dut	devoir	VINDPS3S
marcher	marcher	VINF
au	à le	DETDMS
pas	pas	NCMIN
.	.	PCTFORTE
Un	un	DETIMS
moment	moment	NCMS
,	,	PCTFAIB
l'	le	DETDMS
embarras	embarras	NCMIN
devint	devenir	VINDPS3S
tel	tel	ADJIND
,	,	PCTFAIB
qu'	que	SUB
il	il	PPER3S
lui	lui	PPER3S
fallut	falloir	VINDPS3S
même	même	ADV
s'	se	PPER3S
arrêter	arrêter	VINF
.	.	PCTFORTE
Le	le	DETDMS
soleil	soleil	NCMS
se	se	PPER3S
couchait	coucher	VINDI3S
dans	dans	PREP
un	un	DETIMS
ciel	ciel	NCMS
d'	de	PREP
octobre	octobre	NCMIN
,	,	PCTFAIB
d'	de	PREP
un	un	DETIMS
gris	gris	NCMIN
clair	clair	ADJMS
,	,	PCTFAIB
strié	strier	VPARPMS
à	à	PREP
l'	le	DETDMS
horizon	horizon	NCMS
de	de	PREP
minces	mince	ADJPIG
nuages	nuage	NCMP
.	.	PCTFORTE
Un	un	DETIMS
dernier	dernier	ADJMS
rayon	rayon	NCMS
,	,	PCTFAIB
qui	qui	PRI
tombait	tomber	VINDI3S
des	de le	DETDPIG
massifs	massif	NCMP
lointains	lointain	ADJMP
de	de	PREP
la	le	DETDFS
cascade	cascade	NCFS
,	,	PCTFAIB
enfilait	enfiler	VINDI3S
la	le	DETDFS
chaussée	chaussée	NCFS
,	,	PCTFAIB
baignant	baigner	VPARPRES
d'	de	PREP
une	un	DETIFS
lumière	lumière	NCFS
rousse	rousse	ADJFS
et	et	COO
pâlie	pâlir	VPARPFS
la	le	DETDFS
longue	longue	NCFS
suite	suite	NCFS
des	de le	DETDPIG
voitures	voiture	NCFP
devenues	devenir	VPARPFP
immobiles	immobile	ADJPIG
.	.	PCTFORTE
Les	le	DETDPIG
lueurs	lueur	NCFP
d'	de	PREP
or	or	NCMS
,	,	PCTFAIB
les	le	DETDPIG
éclairs	éclair	NCMP
vifs	vif	ADJMP
que	que	PRI
jetaient	jeter	VINDI3P
les	le	DETDPIG
roues	roue	NCFP
semblaient	sembler	VINDI3P
s'	se	PPER3S
être	être	VINF
fixés	fixer	VPARPMP
le	le	DETDMS
long	long	NCMS
des	de le	DETDPIG
réchampis	réchampis	NCMIN
jaune	jaune	NCSIG
paille	paille	ADJINV
de	de	PREP
la	le	DETDFS
calèche	calèche	NCFS
,	,	PCTFAIB
dont	dont	PRI
les	le	DETDPIG
panneaux	panneau	NCMP
gros	gros	ADJMIN
bleu	bleu	ADJMS
reflétaient	refléter	VINDI3P
des	un	DETDPIG
coins	coin	NCMP
du	de le	DETDMS
paysage	paysage	NCMS
environnant	environnant	ADJMS
.	.	PCTFORTE
Et	et	COO
,	,	PCTFAIB
plus	plus	ADV
haut	haut	ADJHMS
,	,	PCTFAIB
en	en	PREP
plein	plein	ADJMS
dans	dans	PREP
la	le	DETDFS
clarté	clarté	NCFS
rousse	rousse	ADJFS
qui	qui	PRI
les	le	DETDPIG
éclairait	éclairer	VINDI3S
par-derrière	par-derrière	PREP
,	,	PCTFAIB
et	et	COO
qui	qui	PRI
faisait	faire	VINDI3S
luire	luire	VINF
les	le	DETDPIG
boutons	bouton	NCMP
de	de	PREP
cuivre	cuivre	NCMS
de	de	PREP
leurs	leur	DETPOSS
capotes	capote	NCFP
à	à	PREP
demi	demi	ADV
pliées	plier	VPARPFP
,	,	PCTFAIB
retombant	retomber	VPARPRES
du	de le	DETDMS
siège	siège	NCMS
