forme	lemme	catégorie
LE	le	DETDMS
VENTRE	Ventre	NCMS
DE	De	PREP
PARIS	Paris	NPHSIG
I	i	NCMIN
Au	à le	DETDMS
milieu	milieu	NCMS
du	de le	DETDMS
grand	grand	ADJMS
silence	silence	NCMS
,	,	PCTFAIB
et	et	COO
dans	dans	PREP
le	le	DETDMS
désert	désert	NCMS
de	de	PREP
l'	le	DETDFS
avenue	avenue	NCFS
,	,	PCTFAIB
les	le	DETDPIG
voitures	voiture	NCFP
de	de	PREP
maraîchers	maraîcher	NCMP
montaient	monter	VINDI3P
vers	vers	PREP
Paris	Paris	NPHSIG
,	,	PCTFAIB
avec	avec	PREP
les	le	DETDPIG
cahots	cahot	NCMP
rhythmés	rhythmés	NCI
de	de	PREP
leurs	leur	DETPOSS
roues	roue	NCFP
,	,	PCTFAIB
dont	dont	PRI
les	le	DETDPIG
échos	écho	NCMP
battaient	battre	VINDI3P
les	le	DETDPIG
façades	façade	NCFP
des	de le	DETDPIG
maisons	maison	NCFP
,	,	PCTFAIB
endormies	endormi	NCFP
aux	à le	DETDPIG
deux	deux	ADJNUM
bords	bord	NCMP
,	,	PCTFAIB
derrière	derrière	PREP
les	le	DETDPIG
lignes	ligne	NCFP
confuses	confus	ADJFP
des	de le	DETDPIG
ormes	orme	NCMP
.	.	PCTFORTE
Un	un	PIMS
tombereau	tombereau	NCMS
de	de	PREP
choux	chou	NCMP
et	et	COO
un	un	DETIMS
tombereau	tombereau	NCMS
de	de	PREP
pois	pois	NCMIN
,	,	PCTFAIB
au	à le	DETDMS
pont	pont	NCMS
de	de	PREP
Neuilly	Neuilly	NPHSIG
,	,	PCTFAIB
s'	se	PPER3S
étaient	être	VINDI3P
joints	joindre	VPARPMP
aux	à le	DETDPIG
huit	huit	ADJNUM
voitures	voiture	NCFP
de	de	PREP
navets	navet	NCMP
et	et	COO
de	de	PREP
carottes	carotte	NCFP
qui	qui	PRI
descendaient	descendre	VINDI3P
de	de	PREP
Nanterre	Nanterre	NPSIG
;	;	PCTFORTE
et	et	COO
les	le	DETDPIG
chevaux	cheval	NCMP
allaient	aller	VINDI3P
tout	tout	ADV
seuls	seul	ADJMP
